polres pelalawan
pelalawan deklarasi
deklarasi isu
isu sara
sara selengkapnya
selengkapnya bencinya
bencinya beliau
beliau grgr
grgr junjungan
junjungan bui
bui heyyyy
heyyyy nyebarin
nyebarin ditahan
ditahan kantongi
kantongi identitas
identitas anggota
anggota follower
follower nekat
nekat jurnalpagi
jurnalpagi kabareskrim
kabareskrim terungkapnya
terungkapnya kelompok
kelompok klb
klb kabareskrim
kabareskrim kejadian
kejadian bareskrim
bareskrim polri
polri ringkus
ringkus anggota
anggota cyber
cyber army
army terpantau
terpantau tim
tim cyber
cyber feby
feby loh
loh diisengin
diisengin haters
haters 
